# Number of gene annotations for each GO term that are being used for experiments.
# GO_Term	Num_Genes
GO:0045822	10
GO:0061333	10
GO:0050855	10
GO:0050857	10
GO:0003148	10
GO:0019724	10
GO:0090128	10
GO:0060045	10
GO:0048485	10
GO:0002287	10
GO:0042634	10
GO:0090051	10
GO:0045190	10
GO:0010832	10
GO:0002446	10
GO:0042472	10
