GO Process ID	Num_Genes_In_Ensembl
GO:0021930	6
GO:0045639	6
GO:0042693	6
GO:0060509	6
GO:0060501	6
GO:0060527	6
GO:0001711	6
GO:0021978	6
GO:0046651	5
GO:0055009	5
GO:0042403	5
GO:0048730	5
GO:0007195	5
GO:0035630	5
GO:0001757	5
GO:0072678	5
GO:0002551	5
GO:0035469	5
GO:0048515	5
GO:0070242	5
GO:0050851	5
GO:0050856	5
GO:0050859	5
GO:0071639	5
GO:0071638	5
GO:0051891	5
GO:0061042	5
GO:0042634	5
GO:0051970	5
GO:0016202	5
GO:0035791	5
GO:0051147	5
GO:0003179	5
GO:0003170	5
GO:0010543	5
GO:0046541	5
GO:0030300	5
GO:0071864	5
GO:0060430	5
GO:0045953	5
GO:0031915	5
GO:0003283	5
GO:0043587	5
GO:0043584	5
GO:0060666	5
GO:0060662	5
GO:0048341	5
GO:0060415	5
GO:0042415	5
GO:0060603	5
GO:0033088	5
GO:0033081	5
GO:0033085	5
GO:0008038	5
GO:0060298	5
GO:0070345	5
GO:0060836	5
GO:0033600	5
GO:0048664	5
GO:0048668	5
GO:0014044	5
GO:0033599	5
GO:0030240	5
GO:0061038	5
GO:0043353	5
GO:0051546	5
GO:0046929	5
GO:0042491	5
GO:0014832	5
GO:0043312	5
GO:0072162	5
GO:0051823	5
GO:0048680	5
GO:0030510	5
GO:0003357	5
GO:0030947	5
GO:0060510	5
GO:0022027	5
GO:0051584	5
GO:0021942	5
GO:0031133	5
GO:0002260	5
GO:0060336	5
GO:0003417	5
GO:0021960	5
GO:0090335	5
GO:0060744	5
GO:0048562	5
GO:0060117	5
GO:0007406	5
GO:2000110	5
GO:0045063	5
GO:0021517	5
GO:0001915	5
GO:0003180	5
GO:0002322	5
GO:0003211	5
GO:0010936	5
GO:0060339	5
GO:0060157	5
GO:0002309	5
GO:0003231	5
GO:0071621	5
GO:0046626	5
GO:0060956	5
GO:2000675	5
GO:0008063	5
GO:0090184	5
GO:0045687	5
GO:0033153	5
GO:0051151	5
GO:0070120	5
GO:0060591	5
GO:2000553	5
GO:0021631	5
GO:0021637	5
GO:0010991	5
GO:0044332	5
GO:0001992	5
GO:0070100	5
GO:0003105	5
GO:0003100	5
GO:0010837	5
GO:0010830	5
GO:0007501	5
GO:0014037	5
GO:0072207	5
GO:0002385	5
GO:0051135	5
GO:0048630	5
GO:0021696	5
GO:0003081	5
GO:0045843	5
GO:0060613	5
GO:0043367	5
GO:0002725	5
GO:0048845	5
GO:0071599	5
GO:0072284	5
GO:0090080	5
GO:0072540	5
GO:0043320	5
GO:0001547	5
GO:0045823	5
GO:0042482	5
GO:0003344	5
GO:0048752	5
GO:0048755	5
GO:0045636	5
GO:0045637	5
GO:0030098	5
GO:0060385	5
GO:0007598	5
GO:0001504	5
GO:0042699	5
GO:0021764	5
GO:0048598	5
GO:0051023	5
GO:0033564	5
GO:0060718	5
GO:0060710	5
GO:0003406	5
GO:0001714	5
GO:0033504	5
GO:2000330	4
GO:0042093	4
GO:0032925	4
GO:0003266	4
GO:0016199	4
GO:0071107	4
GO:0021521	4
GO:0021782	4
GO:0002925	4
GO:0060113	4
GO:0001754	4
GO:0072675	4
GO:0043415	4
GO:0072672	4
GO:0070293	4
GO:0006663	4
GO:0014706	4
GO:0003273	4
GO:0002906	4
GO:0050855	4
GO:0072378	4
GO:0061156	4
GO:0022009	4
GO:0021871	4
GO:0045578	4
GO:0045577	4
GO:0061304	4
GO:0003150	4
GO:0035093	4
GO:0035092	4
GO:0010988	4
GO:0010989	4
GO:0031547	4
GO:0051142	4
GO:0071847	4
GO:0055118	4
GO:0034653	4
GO:0060364	4
GO:0051919	4
GO:0006726	4
GO:0008582	4
GO:0072218	4
GO:2000391	4
GO:0070445	4
GO:0045959	4
GO:0048170	4
GO:0003289	4
GO:0070309	4
GO:0060669	4
GO:0060665	4
GO:0022602	4
GO:0035625	4
GO:0010807	4
GO:0002666	4
GO:0002667	4
GO:0014028	4
GO:0035771	4
GO:0031077	4
GO:0032286	4
GO:0002326	4
GO:0072177	4
GO:2000566	4
GO:0097029	4
GO:0061056	4
GO:0061051	4
GO:0043372	4
GO:0043374	4
GO:0014042	4
GO:0072107	4
GO:0072108	4
GO:0003338	4
GO:0060024	4
GO:0002018	4
GO:0042904	4
GO:0001780	4
GO:0035502	4
GO:0061030	4
GO:0072126	4
GO:0045830	4
GO:0072144	4
GO:0001554	4
GO:0042133	4
GO:0060686	4
GO:0042490	4
GO:0072086	4
GO:0014834	4
GO:0033004	4
GO:0072574	4
GO:0060219	4
GO:0048681	4
GO:0051612	4
GO:0060513	4
GO:0048742	4
GO:0042471	4
GO:0022029	4
GO:0032226	4
GO:0014816	4
GO:0051583	4
GO:0045629	4
GO:0072513	4
GO:0060235	4
GO:2000360	4
GO:0021555	4
GO:0021559	4
GO:0021889	4
GO:0060486	4
GO:0010760	4
GO:0016080	4
GO:0060534	4
GO:0060535	4
GO:0045986	4
GO:0060393	4
GO:0014873	4
GO:0014878	4
GO:0003257	4
GO:0045607	4
GO:0060708	4
GO:0002283	4
GO:2000345	4
GO:0021575	4
GO:0021759	4
GO:0060214	4
GO:0045661	4
GO:0050798	4
GO:0010916	4
GO:0045064	4
GO:0060913	4
GO:0046878	4
GO:0010724	4
GO:0003183	4
GO:0072006	4
GO:0050672	4
GO:0002328	4
GO:2000138	4
GO:0003219	4
GO:0045646	4
GO:0010701	4
GO:0060335	4
GO:0046629	4
GO:0002155	4
GO:0001951	4
GO:2000676	4
GO:2000672	4
GO:0021800	4
GO:0061333	4
GO:0002360	4
GO:0021615	4
GO:0051152	4
GO:0060971	4
GO:0021861	4
GO:0007442	4
GO:0003161	4
GO:0042271	4
GO:0043009	4
GO:0042662	4
GO:0090027	4
GO:0007290	4
GO:0001994	4
GO:0003104	4
GO:0060351	4
GO:0060421	4
GO:0001826	4
GO:0032815	4
GO:0071871	4
GO:0014904	4
GO:0002768	4
GO:0072221	4
GO:0043045	4
GO:0060676	4
GO:0051138	4
GO:0060442	4
GO:0060841	4
GO:0060842	4
GO:0001839	4
GO:0046533	4
GO:0002029	4
GO:0072498	4
GO:0034371	4
GO:0090191	4
GO:0060058	4
GO:0051450	4
GO:0010626	4
GO:0072289	4
GO:0048861	4
GO:0048659	4
GO:0035799	4
GO:0030910	4
GO:0060019	4
GO:0060018	4
GO:0003253	4
GO:0042481	4
GO:0021913	4
GO:0070231	4
GO:0051414	4
GO:0060750	4
GO:0051387	4
GO:0010664	4
GO:0002430	4
GO:0014827	4
GO:0014826	4
GO:0032946	4
GO:0021938	4
GO:0001505	4
GO:0021540	4
GO:0021891	4
GO:0021957	4
GO:0021953	4
GO:0045619	4
GO:0002277	4
GO:0061384	4
GO:0060528	4
GO:0048570	4
GO:0003402	4
GO:0045191	4
GO:0042421	4
GO:0021979	4
GO:0010903	3
GO:0002291	3
GO:0002292	3
GO:0055005	3
GO:0002457	3
GO:0035166	3
GO:0072017	3
GO:0072011	3
GO:0072012	3
GO:0060160	3
GO:0048050	3
GO:0021523	3
GO:0021781	3
GO:0035633	3
GO:0003190	3
GO:0003199	3
GO:0060126	3
GO:0060129	3
GO:0002314	3
GO:0072676	3
GO:0070294	3
GO:0070295	3
GO:0002554	3
GO:0021885	3
GO:0060923	3
GO:0007228	3
GO:0070172	3
GO:2000669	3
GO:0014707	3
GO:0072050	3
GO:0060492	3
GO:0002902	3
GO:0002904	3
GO:0001773	3
